trial,method,detected_time,EDD,ChangeType,ChangeParam,Distribution
95,A19,215,15.0,ar1,0.1,Gaussian
96,Our,202,2.0,ar1,0.1,Gaussian
96,LL23,212,12.0,ar1,0.1,Gaussian
96,A19,151,-49.0,ar1,0.1,Gaussian
97,Our,208,8.0,ar1,0.1,Gaussian
97,LL23,223,23.0,ar1,0.1,Gaussian
97,A19,217,17.0,ar1,0.1,Gaussian
98,Our,206,6.0,ar1,0.1,Gaussian
98,LL23,228,28.0,ar1,0.1,Gaussian
98,A19,216,16.0,ar1,0.1,Gaussian
99,Our,205,5.0,ar1,0.1,Gaussian
99,LL23,224,24.0,ar1,0.1,Gaussian
99,A19,218,18.0,ar1,0.1,Gaussian
100,Our,204,4.0,ar1,0.1,Gaussian
100,LL23,217,17.0,ar1,0.1,Gaussian
100,A19,207,7.0,ar1,0.1,Gaussian
101,Our,209,9.0,ar1,0.1,Gaussian
101,LL23,215,15.0,ar1,0.1,Gaussian
101,A19,199,-1.0,ar1,0.1,Gaussian
102,Our,204,4.0,ar1,0.1,Gaussian
102,LL23,210,10.0,ar1,0.1,Gaussian
102,A19,209,9.0,ar1,0.1,Gaussian
103,Our,209,9.0,ar1,0.1,Gaussian
103,LL23,221,21.0,ar1,0.1,Gaussian
103,A19,209,9.0,ar1,0.1,Gaussian
104,Our,207,7.0,ar1,0.1,Gaussian
104,LL23,220,20.0,ar1,0.1,Gaussian
104,A19,163,-37.0,ar1,0.1,Gaussian
105,Our,205,5.0,ar1,0.1,Gaussian
105,LL23,222,22.0,ar1,0.1,Gaussian
105,A19,221,21.0,ar1,0.1,Gaussian
106,Our,204,4.0,ar1,0.1,Gaussian
106,LL23,219,19.0,ar1,0.1,Gaussian
106,A19,214,14.0,ar1,0.1,Gaussian
107,Our,201,1.0,ar1,0.1,Gaussian
107,LL23,213,13.0,ar1,0.1,Gaussian
107,A19,212,12.0,ar1,0.1,Gaussian
108,Our,204,4.0,ar1,0.1,Gaussian
108,LL23,207,7.0,ar1,0.1,Gaussian
108,A19,207,7.0,ar1,0.1,Gaussian
109,Our,203,3.0,ar1,0.1,Gaussian
109,LL23,225,25.0,ar1,0.1,Gaussian
109,A19,178,-22.0,ar1,0.1,Gaussian
110,Our,207,7.0,ar1,0.1,Gaussian
110,LL23,219,19.0,ar1,0.1,Gaussian
110,A19,206,6.0,ar1,0.1,Gaussian
111,Our,206,6.0,ar1,0.1,Gaussian
111,LL23,224,24.0,ar1,0.1,Gaussian
111,A19,122,-78.0,ar1,0.1,Gaussian
112,Our,205,5.0,ar1,0.1,Gaussian
112,LL23,214,14.0,ar1,0.1,Gaussian
112,A19,211,11.0,ar1,0.1,Gaussian
113,Our,210,10.0,ar1,0.1,Gaussian
113,LL23,217,17.0,ar1,0.1,Gaussian
113,A19,170,-30.0,ar1,0.1,Gaussian
114,Our,208,8.0,ar1,0.1,Gaussian
114,LL23,224,24.0,ar1,0.1,Gaussian
114,A19,216,16.0,ar1,0.1,Gaussian
115,Our,205,5.0,ar1,0.1,Gaussian
115,LL23,211,11.0,ar1,0.1,Gaussian
115,A19,187,-13.0,ar1,0.1,Gaussian
116,Our,207,7.0,ar1,0.1,Gaussian
116,LL23,223,23.0,ar1,0.1,Gaussian
116,A19,143,-57.0,ar1,0.1,Gaussian
117,Our,207,7.0,ar1,0.1,Gaussian
117,LL23,224,24.0,ar1,0.1,Gaussian
117,A19,198,-2.0,ar1,0.1,Gaussian
118,Our,206,6.0,ar1,0.1,Gaussian
118,LL23,210,10.0,ar1,0.1,Gaussian
118,A19,152,-48.0,ar1,0.1,Gaussian
119,Our,205,5.0,ar1,0.1,Gaussian
119,LL23,219,19.0,ar1,0.1,Gaussian
119,A19,207,7.0,ar1,0.1,Gaussian
120,Our,205,5.0,ar1,0.1,Gaussian
120,LL23,214,14.0,ar1,0.1,Gaussian
120,A19,214,14.0,ar1,0.1,Gaussian
121,Our,205,5.0,ar1,0.1,Gaussian
121,LL23,233,33.0,ar1,0.1,Gaussian
121,A19,212,12.0,ar1,0.1,Gaussian
122,Our,206,6.0,ar1,0.1,Gaussian
122,LL23,206,6.0,ar1,0.1,Gaussian
122,A19,167,-33.0,ar1,0.1,Gaussian
123,Our,206,6.0,ar1,0.1,Gaussian
123,LL23,212,12.0,ar1,0.1,Gaussian
123,A19,214,14.0,ar1,0.1,Gaussian
124,Our,205,5.0,ar1,0.1,Gaussian
124,LL23,208,8.0,ar1,0.1,Gaussian
124,A19,216,16.0,ar1,0.1,Gaussian
125,Our,203,3.0,ar1,0.1,Gaussian
125,LL23,207,7.0,ar1,0.1,Gaussian
125,A19,205,5.0,ar1,0.1,Gaussian
126,Our,205,5.0,ar1,0.1,Gaussian
126,LL23,220,20.0,ar1,0.1,Gaussian
126,A19,215,15.0,ar1,0.1,Gaussian
127,Our,206,6.0,ar1,0.1,Gaussian
127,LL23,210,10.0,ar1,0.1,Gaussian
127,A19,210,10.0,ar1,0.1,Gaussian
128,Our,204,4.0,ar1,0.1,Gaussian
128,LL23,238,38.0,ar1,0.1,Gaussian
128,A19,138,-62.0,ar1,0.1,Gaussian
129,Our,205,5.0,ar1,0.1,Gaussian
129,LL23,228,28.0,ar1,0.1,Gaussian
129,A19,213,13.0,ar1,0.1,Gaussian
130,Our,206,6.0,ar1,0.1,Gaussian
130,LL23,223,23.0,ar1,0.1,Gaussian
130,A19,206,6.0,ar1,0.1,Gaussian
131,Our,207,7.0,ar1,0.1,Gaussian
131,LL23,213,13.0,ar1,0.1,Gaussian
131,A19,218,18.0,ar1,0.1,Gaussian
132,Our,208,8.0,ar1,0.1,Gaussian
132,LL23,217,17.0,ar1,0.1,Gaussian
132,A19,214,14.0,ar1,0.1,Gaussian
133,Our,202,2.0,ar1,0.1,Gaussian
133,LL23,224,24.0,ar1,0.1,Gaussian
133,A19,200,0.0,ar1,0.1,Gaussian
134,Our,206,6.0,ar1,0.1,Gaussian
134,LL23,226,26.0,ar1,0.1,Gaussian
134,A19,211,11.0,ar1,0.1,Gaussian
135,Our,206,6.0,ar1,0.1,Gaussian
