Distribution,FunctionType,WeightFunction,K_Star,ChangeType,ChangeParam,Power,EDD
Gaussian,linear,gamma_0.0,450,spike,3.5,1.0,15.25370086778969
Gaussian,linear,gamma_0.25,450,spike,3.5,1.0,14.932382461701003
Gaussian,linear,gamma_0.45,450,spike,3.5,1.0,16.718157181571815
Gaussian,linear,log,450,spike,3.5,1.0,23.542
Gaussian,linear,gamma_0.0,450,spike,4.0,1.0,14.615188583078492
Gaussian,linear,gamma_0.25,450,spike,4.0,1.0,14.348302872062662
Gaussian,linear,gamma_0.45,450,spike,4.0,1.0,16.054861488321563
Gaussian,linear,log,450,spike,4.0,1.0,22.614
Gaussian,linear,gamma_0.0,550,inflation,1.1,0.9745,157.06073521576985
Gaussian,linear,gamma_0.25,550,inflation,1.1,0.942,179.0593891402715
Gaussian,linear,gamma_0.45,550,inflation,1.1,0.7685,223.81390296886315
Gaussian,linear,log,550,inflation,1.1,0.9405,216.90159574468086
Gaussian,linear,gamma_0.0,550,inflation,1.2,1.0,63.04216553878189
Gaussian,linear,gamma_0.25,550,inflation,1.2,1.0,68.4753053637812
Gaussian,linear,gamma_0.45,550,inflation,1.2,1.0,86.84792122538293
Gaussian,linear,log,550,inflation,1.2,1.0,89.56228114057029
Gaussian,linear,gamma_0.0,550,inflation,1.3,1.0,39.43929129755081
Gaussian,linear,gamma_0.25,550,inflation,1.3,1.0,42.07708779443255
Gaussian,linear,gamma_0.45,550,inflation,1.3,1.0,51.54307524536532
Gaussian,linear,log,550,inflation,1.3,1.0,56.168668668668666
Gaussian,linear,gamma_0.0,550,inflation,1.4,1.0,28.02947259565667
Gaussian,linear,gamma_0.25,550,inflation,1.4,1.0,29.77332630469162
Gaussian,linear,gamma_0.45,550,inflation,1.4,1.0,35.97894168466523
Gaussian,linear,log,550,inflation,1.4,1.0,39.948422633950926
Gaussian,linear,gamma_0.0,550,inflation,1.5,1.0,22.363541666666666
Gaussian,linear,gamma_0.25,550,inflation,1.5,1.0,23.61830835117773
Gaussian,linear,gamma_0.45,550,inflation,1.5,1.0,28.37192790824686
Gaussian,linear,log,550,inflation,1.5,1.0,31.685027541311968
Gaussian,linear,gamma_0.0,550,ar1,0.1,1.0,11.15452653485952
Gaussian,linear,gamma_0.25,550,ar1,0.1,1.0,11.697649572649572
Gaussian,linear,gamma_0.45,550,ar1,0.1,1.0,13.789843327930848
Gaussian,linear,log,550,ar1,0.1,1.0,15.723361680840421
Gaussian,linear,gamma_0.0,550,ar1,0.3,1.0,11.13451511991658
Gaussian,linear,gamma_0.25,550,ar1,0.3,1.0,11.650776647027316
Gaussian,linear,gamma_0.45,550,ar1,0.3,1.0,13.697571743929359
Gaussian,linear,log,550,ar1,0.3,1.0,15.69184592296148
Gaussian,linear,gamma_0.0,550,ar1,0.5,1.0,10.930873180873181
Gaussian,linear,gamma_0.25,550,ar1,0.5,1.0,11.433011789924974
Gaussian,linear,gamma_0.45,550,ar1,0.5,1.0,13.452912357103974
Gaussian,linear,log,550,ar1,0.5,1.0,15.461730865432717
Gaussian,linear,gamma_0.0,550,ar1,0.7,1.0,11.073940020682523
Gaussian,linear,gamma_0.25,550,ar1,0.7,1.0,11.576700052714813
Gaussian,linear,gamma_0.45,550,ar1,0.7,1.0,13.657980456026058
Gaussian,linear,log,550,ar1,0.7,1.0,15.655155155155155
Gaussian,linear,gamma_0.0,550,ar1,0.9,1.0,11.263295099061523
Gaussian,linear,gamma_0.25,550,ar1,0.9,1.0,11.781083953241232
Gaussian,linear,gamma_0.45,550,ar1,0.9,1.0,13.841020075963103
Gaussian,linear,log,550,ar1,0.9,1.0,15.723361680840421
Gaussian,linear,gamma_0.0,550,spike,2.0,1.0,21.23950233281493
Gaussian,linear,gamma_0.25,550,spike,2.0,1.0,22.412639405204462
Gaussian,linear,gamma_0.45,550,spike,2.0,1.0,26.781453362255967
Gaussian,linear,log,550,spike,2.0,1.0,30.263131565782892
Gaussian,linear,gamma_0.0,550,spike,2.5,1.0,20.24948132780083
Gaussian,linear,gamma_0.25,550,spike,2.5,1.0,21.3517130620985
Gaussian,linear,gamma_0.45,550,spike,2.5,1.0,25.463441451346895
Gaussian,linear,log,550,spike,2.5,1.0,28.6785
Gaussian,linear,gamma_0.0,550,spike,3.0,1.0,19.70197300103842
Gaussian,linear,gamma_0.25,550,spike,3.0,1.0,20.725344644750795
Gaussian,linear,gamma_0.45,550,spike,3.0,1.0,24.743013698630136
Gaussian,linear,log,550,spike,3.0,1.0,27.8145
Gaussian,linear,gamma_0.0,550,spike,3.5,1.0,18.86062176165803
Gaussian,linear,gamma_0.25,550,spike,3.5,1.0,19.8040361125863
Gaussian,linear,gamma_0.45,550,spike,3.5,1.0,23.572357723577237
Gaussian,linear,log,550,spike,3.5,1.0,26.6048024012006
Gaussian,linear,gamma_0.0,550,spike,4.0,1.0,17.755578619615985
Gaussian,linear,gamma_0.25,550,spike,4.0,1.0,18.69655172413793
Gaussian,linear,gamma_0.45,550,spike,4.0,1.0,22.165943600867678
Gaussian,linear,log,550,spike,4.0,1.0,24.991987981972958
Gaussian,log,gamma_0.0,350,inflation,1.1,1.0,53.96096096096096
Gaussian,log,gamma_0.25,350,inflation,1.1,1.0,46.52857865452706
Gaussian,log,gamma_0.45,350,inflation,1.1,1.0,50.17326994189118
Gaussian,log,log,350,inflation,1.1,1.0,102.9125
Gaussian,log,gamma_0.0,350,inflation,1.2,1.0,24.331
